function,H1,H24
scheduler1,1.2348217,3.9096327
scheduler1,1.0847917,3.7932687
scheduler1,1.160965,3.8611894
scheduler1,1.0688541,3.8093367
scheduler1,1.0825403,3.7782366
scheduler1,1.2468421,3.882338
scheduler1,1.2611221,4.0769634
scheduler1,1.2552409,3.9999843
scheduler1,1.2401645,3.963034
scheduler1,1.0718137,3.7577472
scheduler2,1.2099562,3.9272091
scheduler2,1.2422628,3.9829266
scheduler2,1.1772302,3.8903522
scheduler2,1.2345597,4.165857
scheduler2,1.2449237,4.137805
scheduler2,1.160415,3.8542285
scheduler2,1.254959,4.1178575
scheduler2,1.1428875,3.859157
scheduler2,1.1343127,3.889413
scheduler2,1.131737,3.8415964
scheduler3,1.2787302,4.5486603
scheduler3,1.3270184,4.6511827
scheduler3,1.2855855,4.123622
scheduler3,1.4324065,4.4962583
scheduler3,1.473633,4.354504
scheduler3,1.4103168,4.26105
scheduler3,1.2583168,4.0704465
scheduler3,1.3642195,4.3396654
scheduler3,1.363807,4.3151183
scheduler3,1.300263,4.614448
scheduler4,1.2124601602554321,3.9605326652526855
scheduler4,1.121673583984375,3.795511245727539
scheduler4,1.117846965789795,3.802699565887451
scheduler4,1.1839011907577515,3.9116811752319336
scheduler4,1.15535569190979,3.9180145263671875
scheduler4,1.1143625974655151,3.8118343353271484
scheduler4,1.1724853515625,3.856074810028076
scheduler4,1.2529808282852173,4.101814270019531
scheduler4,1.213046669960022,3.876483917236328
scheduler4,1.064017653465271,3.8260855674743652
