weight_decay,H1,H24
0.0,1.0767462253570557,3.8232181072235107
0.0,1.245004653930664,4.011175632476807
0.0,1.2139533758163452,3.994915246963501
0.0,1.2512661218643188,4.132188320159912
0.0,1.2239551544189453,3.9478375911712646
0.0,1.1766667366027832,3.9279747009277344
0.0,1.2241429090499878,4.04888916015625
0.0,1.1957255601882935,3.888921022415161
0.0,1.2451404333114624,4.049757957458496
0.0,1.1298778057098389,3.7924540042877197
0.001,1.1527386903762817,3.822124481201172
0.001,1.082345962524414,3.8010590076446533
0.001,1.16727876663208,3.8595259189605713
0.001,1.0712403059005737,3.867093563079834
0.001,1.0805792808532715,3.7796339988708496
0.001,1.2261803150177002,3.9554383754730225
0.001,1.1832098960876465,3.908989667892456
0.001,1.154476523399353,3.8700356483459473
0.001,1.2309610843658447,3.8863022327423096
0.001,1.2478820085525513,3.9518043994903564
0.0001,1.2111942768096924,3.855346441268921
0.0001,1.2474987506866455,3.9915263652801514
0.0001,1.0658695697784424,3.8331692218780518
0.0001,1.129819393157959,3.84411883354187
0.0001,1.1930644512176514,3.8886637687683105
0.0001,1.2309268712997437,4.011476039886475
0.0001,1.1283519268035889,3.8539633750915527
0.0001,1.105341911315918,3.818981409072876
0.0001,1.1137925386428833,3.7892227172851562
0.0001,1.1828148365020752,3.810504913330078
1e-05,1.0957980155944824,3.797374725341797
1e-05,1.253153681755066,4.150452613830566
1e-05,1.1277732849121094,3.7855467796325684
1e-05,1.2061430215835571,3.8664426803588867
1e-05,1.1126700639724731,3.841696262359619
1e-05,1.2472041845321655,4.104717254638672
1e-05,1.214555025100708,4.071818828582764
1e-05,1.2527083158493042,4.041662216186523
1e-05,1.1504706144332886,3.8167402744293213
1e-05,1.2408761978149414,3.8702361583709717
