model,start_time,train_time,epochs,steps
Final_MLP_shallow_multiv,2024-04-11 23:28:57.676672,0 days 02:01:59.548757,10000,2456
Final_MLP_deep_multiv,2024-04-12 01:30:58.811206,0 days 01:48:00.476131,4000,2456
Final_LSTM_shallow_multiv,2024-04-12 03:19:00.561206,0 days 02:08:37.538500,73,2456
Final_LSTM_deep_multiv,2024-04-12 05:27:52.354039,0 days 01:59:34.425274,21,2456
Final_MLP_shallow_univ,2024-04-12 07:28:18.614487,0 days 01:57:50.300272,10500,2456
Final_MLP_deep_univ,2024-04-12 09:58:48.883013,0 days 01:44:32.686466,3950,2456
Final_LSTM_shallow_univ,2024-04-12 11:43:22.791439,0 days 02:11:04.185515,105,2456
Final_LSTM_deep_univ,2024-04-12 13:54:37.849943,0 days 02:12:59.734693,30,2456
Extended_Final_LSTM_deep_multiv,2024-04-12 23:13:51.562519,0 days 03:57:31.763749,84,2456
Extended_Final_LSTM_deep_univ,2024-04-13 09:07:24.221449,0 days 04:54:25.200049,120,2456
Extended_Final_LSTM_shallow_multiv,2024-04-13 13:11:03.177207,0 days 02:36:53.683472,146,2456
Extended_Final_LSTM_shallow_univ,2024-04-13 15:47:57.048392,0 days 02:27:52.810094,210,2456
Extended_Extended_Final_LSTM_deep_multiv,2024-04-13 15:56:59.763300,0 days 03:56:38.894677,84,2456
Extended_Final_LSTM_shallow_multiv,2024-04-13 22:50:55.705788,0 days 05:11:51.208863,292,2456
Extended_Final_LSTM_deep_multiv,2024-04-14 04:02:47.084156,0 days 03:54:08.385571,84,2456
